TranscriptID	TranscriptTime	Speaker	Segment	Text
3	0:01	1	Introduction	"Let's, let's talk business and accountancy. Tonight we have four speakers Nathan, who is senior lead program manager at the Wealth Management Institute, Sean and analysts that shipping and offshore finance credit industrial commercial whaling and internal audit acting manager for Singapore Airlines and Melissa and associate Mercer m&a advisory services. If you guys have any questions during the session, feel free to type in the chat anytime, and we'll try to get our speakers to answer them during the q&a. "
3	0:02	1	Question	"First up, we have Nathan, who is a senior lead program manager at the Wealth Management Institute. Nathan's career is centered around lifelong learning, workforce transformation. And he even sets aside time for community service and undergraduate mentorship. Take it away, Nathan."
3	0:03	2	Body	"Thanks, cyrus. First of all, happy New Year, everybody. And just to do a brief introduction about my my current position, just to provide a bit more context. I'm currently a senior lead program manager doing program development at the Wealth Management Institute. In short, in terms of industry coverage, I think I straddled between both the adult education as well as the financial sector. So if you have any questions about both of these sectors, I'll be able to provide more detail in the q&a later on. Maybe we can have the next slide. Yeah. So with that out of the way, just want to sort of rewind back to the start of my education journey. Before I share a bit more about my career as well. So far, in terms of how I came about deciding what I wanted to study early on, I would say that for me personally, I did focus a lot on passion rather than practicality. And I will say four, there's no right or wrong answer in this space. But just to share a bit more about from from my own journey itself. Since secondary school, I think I've always followed my interests very closely. So even in secondary school, I opted to do double science instead of triple science, because I wanted to do literature, I was always into writing more. And that showed all the way towards University, where at that point of time, I was still not very sure what I wanted to do. But I was very clear that I wanted to follow what I was interested in. So just just to share a bit about myself on that all the way until starting school at NUS. I always thought I would go into econs. But actually, in the first few weeks after going into university, I then decided maybe I'll come to completely something completely different. So I actually went into political science. So just to show you that sometimes, early on, it's very difficult to sort of know exactly what you want to do both for studying as well as for why you want to work at work. "
3	0:04	2	Body	"So that's very normal. And I'll be sharing a bit more about how I came to terms with that myself as well. So why put passion versus practicality because there's always trade off for myself, I think, following my passion has sort of paid off because because of my interest in a subject, it really helped me to excel. And even today, I think, part of the skills that I picked up in political science in NUS, I actually honed my skills in writing, which helped me a lot in my work as well. But I did realize along the way that it is also important to have practical sort of education that is related to your work as well, which is why I decided to do an MBA with Quantic is an online MBA. And I think that really helped me to sort of gap up in terms of the skills and knowledge required in the financial as well as adult education sector. So again, I will say this is my own journey in terms of what what I've come combined in terms of education and for is for yourself to also sort of learn in terms of what what what is really important to you, whether it's passion, practicality, or it could be a mix of both. "
3	0:05	2	Body	"So the second point I want to talk about is about giving it a go and figuring out what you like or even dislike. So why I say dislike is because many of us may find it difficult to sort of pinpoint what we like, especially when it comes to work. But you'll you'll sort of find that or at least for me along the way, when I did internships and different jobs, I actually have a clear idea Why don't like and that's what that's a good place to start, in a sense. So this picture here is actually of the new Ministry of Manpower building, I was actually interning at the Ministry of Manpower at the start of my University. So before that I never thought I would join the public service. But because of my good internship experience, I actually found that it could be a meaningful career. And thereafter, that's where I figured out maybe after graduation, that's where I can start my career in the public service. So that's where I started out. But today I actually moved out of the public service as well. and gone into the private sector. So I will say it's quite fluid in terms of your career as well. "
3	0:06	2	Body	"And that brings me brings me to the next point about how your career narrative can be clearer over time. And with hindsight. So for myself, at least, I realized that after working a bit more and gaining more experience, I realized that looking back, there are some sort of trends or like narratives that I can, that I managed to craft and work out in terms of my career. At the start, it may be difficult to sort of figure that out. But the way how I see is like a on in when you're driving a car, when you look back on your journey, that's where you can see that along the way, at least for me, I realized that the areas that that I really touched on was career workforce development, skills, upgrading, and now into lifelong learning as well. So that's been something that that has been true to me along the way, even in the in the public's service, or even now in the private sector and Wealth Management Institute as well. So I won't go too much into detail into what I want to share in terms of allowing a bit more time for q&a. "
3	0:07	2	Body	"But my last point I want to talk about is about giving back, bargaining more. So I'm very happy to be here today and grateful for NYC and inspirit, inviting me as a panelist because I'm very passionate about youth. So even in my time across my education and career, I've always been volunteering in youth related areas. So I was quite involved in boys brigade. And even in my university University years, I did a lot of volunteer work, even in the overseas community involvement program, which I learned a lot, leading my own team there. Today, I still continue to volunteer and mentoring the undergraduates at NUS and my faculty at Arts and Social Sciences. So I will say that it's not just about me giving back but it's gaining more of it, I always tell my mentees that I hope I also always aim to learn from them as well. So there's a lot for us to continue to learn. And for me learning has always been a key point in my education and career journey."
3	0:08	2	Body	"And just to move on to the second slide I have, I won't go too much into all the questions, but I just thought since we only have about five minutes to share, I will just put a cheat sheet here in case there are some burning questions you may have related. And I'll be happy to sort of answer in more detail later on. But just to leave everybody with a quote from Steve Jobs to Stay hungry, stay foolish because for me, I think that that has been true to me through my education and career journey. And please feel free to link up with me on LinkedIn, happy to provide any further advice or questions or answer questions that you may have, even after this session that we have. So thanks, everybody, I'll hand the time back to Cyrus."
3	0:09	1	Question	"Thanks, Nate and I have to contribute back to the community okay in the future too. And I'm also a political science major, right now. Next up, we have Shan Shan is an analyst at shipping and offshore finance credit. Sorry, it's French finance, credit industrial agriculture. He obtained his bachelor's degree in business management finance at SMU where he found his calling in the banking sector. On to you, Sean."
3	0:10	3	Body	"Thanks, Iris, if you could go to the first light. Okay, so I chose to focus a bit more on my last education rather than the years before, you'd see that I studied SMU and I did business management, I chose to major in finance, I thought it might be interesting to touch on just very briefly what that's about and why I chose that which might be of more value to you. So to put it very simply, business management is, as the name says about managing business. So it covers all aspects of things like marketing. So you think about your advertisements and your promotions, that's part of business management. Think about operations and logistics, how to move your product from one place to another how much warehouse space you need. That's also a business decision. And it's covered in this course, HR is beyond human resources, the most important tool and resource that a company has finances is about managing your money and entrepreneurship, how to better run startups or cultivate startup culture. So all that goes into a business management degree, and I chose to major in finance, and get into that later. "
