TranscriptID,TranscriptTime,Speaker,Segment,Text
1,0:01,1,Introduction,"WTF you're on the series what the future what the future aims to dive deep into hot topics that you the youth may be scratching your heads about. Basically, we asked tough questions so you don't have to what the? What's up guys and thank you for joining us on another episode of WTF what the future what the future is a podcast series by the national youth councils Asia ready exposure program in partnership with the Singapore Institute of International Affairs. Today, we're gonna be unpacking something that is I don't think we understand much about it. But thankfully, we have some experts here. Um, I'll give you the topic. global geopolitics define it is basically politics and about where the countries are placed on the ah, actually, I think I saw that on Wikipedia. So you actually did research. You did the same thing. I went on Wikipedia, I just guessed. But yes, I think that's, you know, pretty much the broad like sense of what it is, but breaking it down into what's currently happening in the world right now, in terms of global geopolitics. And also, you know, covering a bit of the US China rivalry that we grew up in, right, and it's still happening right now. Yep. So in this episode, we're gonna speak to the experts of geopolitics, obviously, not us, but we're gonna discuss some of the economic impacts on the region and what to expect moving forward. Okay. Joining us in the studio here today. We've got assistant professor at NTU. Public Policy and global affairs, Dillon low, no. We also have your Channel News, Asia executive producer, Miss Pearl force. Okay, so our first question is, obviously, "
1,0:02,1,Question,"how do you get into your field and what piqued your interest in in your, in your field of studies and your field of work?"
1,0:03,2,Body,"So I studied sociology and economics at NUS and how I got interested in China, it was actually very accidental. So in the second year of my university, which is all the way back in 2001, that was a travelogue. There was going to be shot in China, and they were auditioning for people and I was like, yeah, if we traveled to China, I want to do this, right. So I signed up for it. And then I spent two months in China doing all kinds of fun things, like going to Shaolin Temple going for climbing our army visiting different cities, and they were so open and welcoming to foreign ideas, to talking to foreigners, you know, to engaging and I just fell in love with China. And so, of course, you don't go from being a fresh grad, do immediately becoming a documentary producer. So after I graduated two years later, I joined CNA worked in the local news desk. And then I worked for a couple of different production houses. And I went back to China in 2008 to make my first China related documentary, and I haven't stopped since then. "
1,0:04,1,Body,"That's incredible, was amazing. Well, it sounds like you've had really quite the journey, you know, in your career. What about you, Dylan? How did you get into this field of work"
1,0:05,3,Body," very difficult to top. pale in comparison, mine is really very, unexciting. So when I did my undergraduate in sociology to at NTU, but from my first year in undergraduate, I knew I wanted to go into academia. Because I just loved research, it helped that I had a lot of inspiring professors as well. After my undergraduate, I went through my masters and rsis as Rajaratnam School of International Studies. There, I worked for the den Dean, and former ambassador Varidesk it was when it really opened my eyes participating in some of these tracks one track 1.2, which is what we call meetings below the official levels, where I had the chance to interact, see, speak with Chinese interlocutors. And that really made me very interested because even at that time, I could see how some of the practices were slightly different from the rest. And that really made me a very interested in, in developing a topic around China. It helped that my boss back then, and as the former ambassador buried, so it was very welcoming, encouraging. In fact, he said that, go on, go and develop your research topic. And I formulated my research topic around China's diplomats back then this also before the whole wolf warrior diplomacy was seen, I was very interested in Chinese diplomacy, and the Ministry of Foreign Affairs just because it's like a black box not been studied a lot. Even within the academic literature. None of people know what they do their effect on Chinese foreign policy, or they have this very traditional view of China's Ministry of Foreign Affairs being fairly weak in the Chinese domestic system, but what I found actually was not the case. So after rsis, I got a scholarship to do my PhD at Cambridge came back to NTU in 2019. And here I am, "
1,0:06,1,Body,"you've tried a lot of different things. And you know You kind of chose something that you're very passionate about. Right? And I'm very glad that both of you are speaking with such you know, vibrancy about it. We need it today. Because we're going to be discussing, you know, in this first part, the sino us rivalry, right? This is something that has been described as the most important bilateral relationship of the 21st century. And the situation between both countries has always been complicated and complex. But in the last decade or so, seems like it's become more tense. "
1,0:07,1,Question,"Why do you guys think it's become, you know, the tensions are running so high. "
1,0:08,2,Body,"It's very, very complex, as you pointed out, and there's a lot to unpack, and I could sit here and talk for 10 hours, but I wouldn't. If I had to break it down into just one reason why the US is upset with China. And one reason why China is upset with us amongst the various factors, it would be this. Okay, so we all remember President Trump, right? Yeah. And in 2016, when President Trump was running for presidency, he went to a lot of these Rust Belt states, or middle America, and ran a campaign that said, you don't make America great again, stop letting China steal our jobs. And remember what happened, he won. And we have to understand the historical background of that, which is that when China joined the WTO, China became the factory of the world. "
1,0:09,2,Body,"I'm pretty sure the clothes I'm wearing right now something's made in China, you know, but when everything is made in China, what happens to the American cities and American people who used to make those same things. manufacturers? Yes. Right. So for many, many years, what we've seen is that the, there's been a hollowing out of the American middle class, when all these factories shift to China. And to be fair to other places in the world, but many of them to China, you have the collapse of certain cities. So I filmed in Dayton, Ohio, I also filmed in Detroit, and you go there, and you see these big factories, abandon the communities around, they're jobless. So people are angry, and they're upset. And when you have Trump coming in 2016, and saying make America great again, you know, stop China from unfair trade practices, and currency manipulation, and all of that. It resounded with people. And then he started the trade war, after that. And by the way, those tariffs that were implemented as part of the trade war, a lot of them are still around today, during Biden's administration. But I want to include this very important thing, which is my personal view, is that that is not the full picture. A lot of the job losses were also caused by automation, robots taking over jobs, they also outsource to a lot of places like Southeast Asia, Mexico, India. So it is not entirely fair at all, to blame China, for the hollowing out of the middle class and the loss of so many jobs in the US, I think the US also needs to look at their own problems of inequality, how, you know, the very rich, you know, holding on to a lot of the wealth, but I think it meant many people do hold that view that China's rise has led to a certain degree of economic decline in the States. So on the flip side, right, yes, if we're looking from China to what the US"
1,0:10,2,Body,"Okay, all right. Have you guys been Beijing? Yes. Yes. Have you guys visited this place called the yuanmingyuan ? It's like these gorgeous ruins. Okay. Okay. So, German Yuan is called the Garden of perfect brightness. And it is, it was the most beautiful thing that China had in the 1800s. Okay. And what happened was that the Western forces, came into China, at the height of the Opium War, went to your finger and burned it all down after they looted the place. And this idea of the century of shame that China's suffered under the hands of, you know, Western forces, it's very much part of the psyche, everyday psyche of Chinese people. And so, after so many decades of working so hard, you know, they finally have their place in the sun. And then you have the US then coming and criticizing them that said, oh, you know, you did this due to currency manipulation, unfair trade practices, and all of that it. It really bites, you know, and, and they reference history a lot. And HongKong was another major point and Hong Kong is related to European Union and the Opium War and a century of shame because they lost HongKong during the century of shame, right. And then we all remember the massive protests that were happening in Hong Kong, and we have Chinese leaders and the China China public believing that the US please ate a role in that. I'm not saying that that is the correct point of view. But I'm saying that that is quite a popular belief. And it's also something that's been shared by the Chinese leaders. So all those protests mixed with the history of the century of shame, mixed with, you know, the US targeting China as a rivalry for the reasons that I described earlier all contributes to quite a lot of anger in China. "
